Frame #,Timestamp,Object ID,Object class,BBox xmin,BBox ymin,BBox xmax,BBox ymax,vel_x,vel_y,Generation method,fbrx,fbry,fblx,fbly,bbrx,bbry,bblx,bbly,ftrx,ftry,ftlx,ftly,btrx,btry,btlx,btly,fbr_x,fbr_y,fbl_x,fbl_y,bbr_x,bbr_y,bbl_x,bbl_y,direction,camera,acceleration,speed,veh rear x,veh center y,theta,width,length,height,"ts_bias for cameras ['p1c1', 'p1c2', 'p1c3', 'p1c4', 'p1c5', 'p1c6', 'p2c1', 'p2c2', 'p2c3', 'p2c4', 'p2c5', 'p2c6']"
-,1623877094.9367,0,midsize,-201.39995181836355,-1848.0137985855831,-70.1562906923107,-1647.2534565716053,0,0,3D Detector,-76.07410107636716,-1710.350897908942,-163.56552184802646,-1726.9925890130392,-106.7156089774036,-1828.7710359709158,-201.39995181836355,-1848.0137985855831,-70.1562906923107,-1647.2534565716053,-157.1401917670666,-1663.1725474243915,-100.1742921673117,-1760.1622033911915,-194.26508777300785,-1778.551675609745,962.10693,2.6265702,962.10693,8.356747,945.41187,2.6265702,945.41187,8.356747,1.0,p1c1,0,95.406555,945.41187,5.4916587,0,5.730177,16.695068,5.0,"[0.0, 0.0506, 0.0604, 0.035, 0.028, 0.0, -0.07299999999999998, -0.029, -0.0398, 0.0, 0.0, -0.016]"
-,1623877094.97,-1,,-0.1647852229816721,260.7753157720387,-0.1647852229816721,260.7753157720387,0,0,3D Detector,-0.1647852229816721,260.7753157720387,-0.1647852229816721,260.7753157720387,-0.1647852229816721,260.7753157720387,-0.1647852229816721,260.7753157720387,-0.1647852229816721,260.7753157720387,-0.1647852229816721,260.7753157720387,-0.1647852229816721,260.7753157720387,-0.1647852229816721,260.7753157720387,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0.0,p1c1,0,0.0,-100.0,-100.0,0,0.0,0.0,0.0,"[0.0, 0.0506, 0.0604, 0.035, 0.028, 0.0, -0.07299999999999998, -0.029, -0.0398, 0.0, 0.0, -0.016]"
-,1623877094.97,0,midsize,-193.65006110405017,-1823.4891234713,-64.83662150111606,-1627.5293467363458,0,0,3D Detector,-70.64760313708267,-1689.6735843119345,-156.88848158465922,-1705.8806535712358,-100.42805915290596,-1804.7885140838657,-193.65006110405017,-1823.4891234713,-64.83662150111606,-1627.5293467363458,-150.58426124717178,-1643.035337938293,-94.01535558047051,-1737.3029661580908,-186.6618332518532,-1755.1777841871058,965.2888,2.6211958,965.2888,8.351373,948.59375,2.6211958,948.59375,8.351373,1.0,p1c1,0,95.552315,948.59375,5.4862843,0,5.730177,16.695068,5.0,"[0.0, 0.0506, 0.0604, 0.035, 0.028, 0.0, -0.07299999999999998, -0.029, -0.0398, 0.0, 0.0, -0.016]"
-,1623877095.0033,-1,,-0.1647852229816721,260.7753157720387,-0.1647852229816721,260.7753157720387,0,0,3D Detector,-0.1647852229816721,260.7753157720387,-0.1647852229816721,260.7753157720387,-0.1647852229816721,260.7753157720387,-0.1647852229816721,260.7753157720387,-0.1647852229816721,260.7753157720387,-0.1647852229816721,260.7753157720387,-0.1647852229816721,260.7753157720387,-0.1647852229816721,260.7753157720387,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0.0,p1c1,0,0.0,-100.0,-100.0,0,0.0,0.0,0.0,"[0.0, 0.0506, 0.0604, 0.035, 0.028, 0.0, -0.07299999999999998, -0.029, -0.0398, 0.0, 0.0, -0.016]"
-,1623877095.0033,0,midsize,-186.12165164429732,-1799.7090091475068,-59.65281175454372,-1608.3558380925733,0,0,3D Detector,-65.36059820902098,-1669.5762064309565,-150.38764417254487,-1685.366404688952,-94.31582036928857,-1781.5267836782784,-186.12165164429732,-1799.7090091475068,-59.65281175454372,-1608.3558380925733,-144.20028915025728,-1623.4655132814842,-88.02700041613971,-1715.1272790873545,-179.27450136287507,-1732.5098809881745,968.4659,2.6149206,968.4659,8.345098,951.7708,2.6149206,951.7708,8.345098,1.0,p1c1,0,95.40752,951.7708,5.480009,0,5.730177,16.695068,5.0,"[0.0, 0.0506, 0.0604, 0.035, 0.028, 0.0, -0.07299999999999998, -0.029, -0.0398, 0.0, 0.0, -0.016]"
-,1623877095.0367,-1,,-0.1647852229816721,260.7753157720387,-0.1647852229816721,260.7753157720387,0,0,3D Detector,-0.1647852229816721,260.7753157720387,-0.1647852229816721,260.7753157720387,-0.1647852229816721,260.7753157720387,-0.1647852229816721,260.7753157720387,-0.1647852229816721,260.7753157720387,-0.1647852229816721,260.7753157720387,-0.1647852229816721,260.7753157720387,-0.1647852229816721,260.7753157720387,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0.0,p1c1,0,0.0,-100.0,-100.0,0,0.0,0.0,0.0,"[0.0, 0.0506, 0.0604, 0.035, 0.028, 0.0, -0.07299999999999998, -0.029, -0.0398, 0.0, 0.0, -0.016]"
-,1623877095.0367,0,midsize,-178.80450498992676,-1776.6392397387638,-54.59904276124756,-1589.7095310132063,0,0,3D Detector,-60.20708711773831,-1650.0340102343152,-144.05538468028317,-1665.42410943571,-88.3708643926156,-1758.95303090495,-178.80450498992676,-1776.6392397387638,-54.59904276124756,-1589.7095310132063,-137.98086599677302,-1604.4387526801418,-82.20145063362686,-1693.6041708273624,-172.0931767087838,-1710.5156779338638,971.63824,2.6077442,971.63824,8.337921,954.9432,2.6077442,954.9432,8.337921,1.0,p1c1,0,94.98077,954.9432,5.4728327,0,5.730177,16.695068,5.0,"[0.0, 0.0506, 0.0604, 0.035, 0.028, 0.0, -0.07299999999999998, -0.029, -0.0398, 0.0, 0.0, -0.016]"
-,1623877095.07,-1,,-0.1647852229816721,260.7753157720387,-0.1647852229816721,260.7753157720387,0,0,3D Detector,-0.1647852229816721,260.7753157720387,-0.1647852229816721,260.7753157720387,-0.1647852229816721,260.7753157720387,-0.1647852229816721,260.7753157720387,-0.1647852229816721,260.7753157720387,-0.1647852229816721,260.7753157720387,-0.1647852229816721,260.7753157720387,-0.1647852229816721,260.7753157720387,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0.0,p1c1,0,0.0,-100.0,-100.0,0,0.0,0.0,0.0,"[0.0, 0.0506, 0.0604, 0.035, 0.028, 0.0, -0.07299999999999998, -0.029, -0.0398, 0.0, 0.0, -0.016]"
-,1623877095.07,0,midsize,-171.6895493824671,-1754.249358120854,-49.670200182704,-1571.569709487344,0,0,3D Detector,-55.18179389106659,-1631.02507279178,-137.88496926208154,-1646.0309597217558,-82.58608719203397,-1737.038064933349,-171.6895493824671,-1754.249358120854,-49.670200182704,-1571.569709487344,-131.91945118983125,-1585.9335071524256,-76.53182842286085,-1672.7060972921793,-165.10905965529273,-1689.1664415540688,974.8058,2.599667,974.8058,8.3298435,958.1107,2.599667,958.1107,8.3298435,1.0,p1c1,0,95.12159,958.1107,5.4647555,0,5.730177,16.695068,5.0,"[0.0, 0.0506, 0.0604, 0.035, 0.028, 0.0, -0.07299999999999998, -0.029, -0.0398, 0.0, 0.0, -0.016]"
-,1623877095.1033,-1,,-0.1647852229816721,260.7753157720387,-0.1647852229816721,260.7753157720387,0,0,3D Detector,-0.1647852229816721,260.7753157720387,-0.1647852229816721,260.7753157720387,-0.1647852229816721,260.7753157720387,-0.1647852229816721,260.7753157720387,-0.1647852229816721,260.7753157720387,-0.1647852229816721,260.7753157720387,-0.1647852229816721,260.7753157720387,-0.1647852229816721,260.7753157720387,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0.0,p1c1,0,0.0,-100.0,-100.0,0,0.0,0.0,0.0,"[0.0, 0.0506, 0.0604, 0.035, 0.028, 0.0, -0.07299999999999998, -0.029, -0.0398, 0.0, 0.0, -0.016]"
