Video sequence name,Processing start time,Processing end time,Timestamp start time,Timestamp end time,Unique objects,GPU
/home/worklab/Data/cv/video/ground_truth_video_06162021/record_47_p1c5_00000.mp4,---,---,1623876788.66,1623876848.72,---,---

Processing fps
3.0454585204335607

Confidence Cutoff,NMS Cutoff
0.3,0.5

Frame #,Timestamp,Object Confidence,Object class,BBox xmin,BBox ymin,BBox xmax,BBox ymax,vel_x,vel_y,Generation method,GPS lat of bbox bottom center,GPS long of bbox bottom center,fbrx,fbry,fblx,fbly,bbrx,bbry,bblx,bbly,ftrx,ftry,ftlx,ftly,btrx,btry,btlx,btly
5,1623876788.83,0.98229915,midsize,1597.4087,149.22699,1690.0548,228.24979,---,---,3D Detector,---,---,1679.6561,197.75809,1639.8467,178.60744,1634.8228,227.95549,1595.0133,208.80484,1690.7551,169.80595,1650.9457,150.6553,1645.9218,200.00336,1606.1123,180.8527
5,1623876788.83,0.93973136,midsize,1097.6677,94.250206,1190.2267,178.52475,---,---,3D Detector,---,---,1097.0334,160.59712,1127.9801,177.96442,1147.9463,128.30757,1178.8928,145.67487,1109.1866,126.09332,1140.1333,143.46062,1160.0994,93.803764,1191.046,111.17106
5,1623876788.83,0.9264255,midsize,644.3159,354.76276,787.56616,483.74783,---,---,3D Detector,---,---,650.50665,459.14102,685.5819,482.30115,742.1811,401.95197,777.25635,425.1121,651.7492,414.94772,686.82446,438.10785,743.42365,357.75867,778.4989,380.9188
5,1623876788.83,0.44298723,pickup,217.23845,903.9992,252.93404,936.1081,---,---,3D Detector,---,---,245.21487,928.48553,226.73314,923.16815,238.63582,934.93726,220.15408,929.6199,249.88852,909.5431,231.40678,904.22577,243.30948,915.9948,224.82773,910.6775
6,1623876788.87,0.98717207,midsize,1609.6079,138.31181,1698.1908,219.43768,---,---,3D Detector,---,---,1689.218,183.56004,1653.033,164.44289,1642.3302,220.34839,1606.1451,201.23123,1698.9349,157.02022,1662.7499,137.90306,1652.047,193.80856,1615.8619,174.6914
6,1623876788.87,0.9852813,pickup,546.69934,167.93616,683.9461,268.8552,---,---,3D Detector,---,---,546.5419,252.09729,581.87146,262.61447,654.439,210.71164,689.76855,221.22882,539.7803,218.66838,575.1098,229.18556,647.67737,177.28273,683.00696,187.79993
6,1623876788.87,0.96587366,midsize,619.4252,369.14227,771.0141,493.00497,---,---,3D Detector,---,---,624.00745,472.1289,668.074,488.09955,733.5547,415.69504,777.6212,431.66568,611.2252,433.04047,655.2917,449.0111,720.77246,376.60657,764.8389,392.5772
6,1623876788.87,0.9607284,sedan,760.35046,208.33165,877.12024,301.36487,---,---,3D Detector,---,---,766.12305,283.04895,791.825,299.34637,841.9788,242.15616,867.6808,258.4536,768.81836,251.957,794.52026,268.25446,844.67413,211.06421,870.3761,227.36166
6,1623876788.87,0.94869864,midsize,1082.7861,102.20775,1175.1102,189.41515,---,---,3D Detector,---,---,1084.6516,174.809,1115.0493,189.52063,1134.6451,141.22401,1165.0428,155.93564,1092.6914,136.71704,1123.089,151.42868,1142.6849,103.13206,1173.0826,117.84368
6,1623876788.87,0.39984298,pickup,218.67984,903.91736,251.96085,935.0853,---,---,3D Detector,---,---,246.40459,927.6193,225.75374,923.5051,238.49593,932.61255,217.84506,928.49835,252.34021,910.34827,231.68935,906.2341,244.43153,915.3415,223.78069,911.2273
7,1623876788.9,0.9821337,pickup,536.22424,176.06831,665.4919,276.07153,---,---,3D Detector,---,---,533.06213,261.05356,567.23645,272.30487,633.67584,218.00919,667.85016,229.26051,533.0975,227.6007,567.27185,238.85202,633.7112,184.55634,667.8855,195.80766
7,1623876788.9,0.97123355,midsize,1620.8838,127.615326,1710.5875,208.63577,---,---,3D Detector,---,---,1703.6752,169.76874,1665.3071,151.83115,1654.433,210.35022,1616.0651,192.41263,1712.5416,144.28542,1674.1737,126.34783,1663.2996,184.86691,1624.9315,166.92932
7,1623876788.9,0.97100765,sedan,743.4021,220.83202,860.29974,313.56082,---,---,3D Detector,---,---,751.2684,295.91724,774.03986,311.91077,827.6263,254.86575,850.39777,270.8593,751.9134,263.2323,774.6849,279.22586,828.2713,222.18083,851.0428,238.17438
7,1623876788.9,0.9479779,midsize,595.68713,387.18106,744.8563,511.99875,---,---,3D Detector,---,---,604.5162,494.43832,639.56055,512.3268,705.5119,429.42993,740.55634,447.31836,600.0053,451.10645,635.04974,468.99487,701.00104,386.09805,736.0455,403.98648
7,1623876788.9,0.93740547,midsize,1070.2775,114.89037,1157.3928,194.05615,---,---,3D Detector,---,---,1070.8942,180.21005,1101.6428,193.99664,1116.7987,149.54239,1147.5474,163.329,1078.8365,145.99307,1109.5851,159.77968,1124.7411,115.32542,1155.4897,129.11203
7,1623876788.9,0.4074097,pickup,217.66553,904.01166,252.69183,935.84235,---,---,3D Detector,---,---,244.97653,928.6844,226.23865,922.7157,238.63158,934.8533,219.89369,928.8845,250.289,910.0722,231.55112,904.1035,243.94405,916.2411,225.20616,910.2724
8,1623876788.93,0.99260736,pickup,519.08936,182.34758,653.4954,283.76425,---,---,3D Detector,---,---,519.45135,268.72842,554.96173,278.64246,622.4273,226.54945,657.9377,236.46349,513.7077,233.48044,549.2181,243.39449,616.68365,191.30145,652.19403,201.2155
8,1623876788.93,0.98292667,midsize,1634.3105,118.43867,1721.1189,193.20673,---,---,3D Detector,---,---,1712.8234,160.42671,1675.0372,143.0994,1669.6406,194.67256,1631.8544,177.34525,1721.3131,135.01334,1683.5269,117.68601,1678.1304,169.25919,1640.3441,151.93187
8,1623876788.93,0.9789469,sedan,723.8912,228.66649,842.9754,327.03018,---,---,3D Detector,---,---,722.2911,308.50284,756.9398,322.78952,809.2304,263.50018,843.87915,277.7869,719.9996,279.39432,754.6483,293.681,806.9389,234.39166,841.58765,248.67834
8,1623876788.93,0.9628625,midsize,1049.0444,123.35171,1144.3496,209.61105,---,---,3D Detector,---,---,1052.3789,193.57492,1084.8687,209.1405,1101.4028,160.76878,1133.8925,176.33437,1059.9528,157.15927,1092.4424,172.72487,1108.9767,124.353134,1141.4663,139.91873
8,1623876788.93,0.92618823,midsize,567.90405,399.67886,722.58923,529.25684,---,---,3D Detector,---,---,582.83185,509.4883,616.45154,527.8575,680.6441,440.85425,714.2638,459.2234,575.6231,470.5018,609.2428,488.87097,673.43536,401.86774,707.05505,420.23688
8,1623876788.93,0.52818835,pickup,217.552,904.15826,252.78418,935.83734,---,---,3D Detector,---,---,244.85843,928.5344,226.21686,922.9213,238.48315,934.67224,219.84158,929.05914,250.29692,910.0357,231.65535,904.4226,243.92165,916.1735,225.28008,910.5604
9,1623876788.97,0.9804489,pickup,505.85355,183.1182,641.3862,291.3426,---,---,3D Detector,---,---,504.4375,276.37817,543.5673,286.23163,608.04376,232.0931,647.1736,241.94653,498.0735,236.90488,537.2033,246.75832,601.67975,192.6198,640.8096,202.47324
9,1623876788.97,0.97909284,midsize,1644.1464,108.05583,1727.8296,185.98033,---,---,3D Detector,---,---,1718.5138,150.63788,1682.9437,133.48997,1677.884,186.45041,1642.314,169.30249,1727.278,124.56387,1691.7079,107.41596,1686.6482,160.3764,1651.0781,143.22849
9,1623876788.97,0.97276455,sedan,701.50446,241.17491,823.88684,338.92776,---,---,3D Detector,---,---,709.681,320.25964,737.58923,338.52914,784.8349,272.4015,812.74316,290.671,711.7944,289.81604,739.70264,308.08554,786.9483,241.95789,814.8565,260.2274
9,1623876788.97,0.91815126,midsize,1032.7482,129.43567,1131.0767,221.18735,---,---,3D Detector,---,---,1034.0634,203.22394,1066.8574,219.82658,1085.8707,169.31563,1118.6647,185.91826,1045.0582,166.20456,1077.8522,182.8072,1096.8655,132.29625,1129.6595,148.8989
9,1623876788.97,0.89672476,midsize,543.68524,418.08078,693.142,548.44946,---,---,3D Detector,---,---,555.3023,531.4137,585.0966,549.73596,658.67426,465.95468,688.46857,484.27698,548.34595,482.7129,578.14026,501.0352,651.71783,417.2539,681.51215,435.5762
9,1623876788.97,0.39517927,pickup,216.83179,906.1143,249.77013,939.4776,---,---,3D Detector,---,---,241.20483,930.18005,225.73999,926.8516,236.48495,935.0715,221.02011,931.74304,245.50603,913.4211,230.04118,910.09265,240.78616,918.31244,225.32132,914.9841
10,1623876789.0,0.9924016,pickup,486.18988,195.06664,628.17535,301.63193,---,---,3D Detector,---,---,492.28235,285.3581,526.0022,296.58984,599.0259,238.17117,632.7458,249.40291,480.00003,250.73227,513.7199,261.96402,586.7436,203.54535,620.46344,214.77708
10,1623876789.0,0.97511655,midsize,1654.0483,97.78027,1739.8954,176.14728,---,---,3D Detector,---,---,1734.057,136.737,1694.8611,121.32958,1689.3514,178.17668,1650.1555,162.76926,1741.1707,111.41789,1701.9747,96.01047,1696.4651,152.85757,1657.2692,137.45015
10,1623876789.0,0.9684378,sedan,683.1886,251.31946,806.2186,351.2388,---,---,3D Detector,---,---,688.2987,331.31732,718.6142,350.22766,765.90265,284.2048,796.21814,303.11514,691.82117,299.3727,722.13666,318.28302,769.4251,252.26021,799.7406,271.17053
10,1623876789.0,0.9379381,midsize,1019.33154,143.86398,1113.8944,228.25517,---,---,3D Detector,---,---,1021.9294,211.96837,1048.3468,226.1297,1073.9758,182.0292,1100.3933,196.19054,1032.6052,175.80998,1059.0226,189.97131,1084.6517,145.87082,1111.0692,160.03215
10,1623876789.0,0.9104461,midsize,516.34424,433.0296,674.6969,566.1758,---,---,3D Detector,---,---,527.54266,546.4326,559.09766,567.1752,637.0612,476.57855,668.6163,497.32108,522.4134,500.21033,553.96844,520.9528,631.932,430.35623,663.487,451.09875
10,1623876789.0,0.39011058,pickup,216.46202,906.27997,249.53166,939.33466,---,---,3D Detector,---,---,240.67935,929.9156,225.42488,926.7938,236.0777,934.9435,220.82323,931.8218,245.03598,913.3882,229.78151,910.2664,240.43433,918.4161,225.17986,915.2944
10,1623876789.0,0.3127103,semi,921.75146,-36.388313,1115.7474,125.909775,---,---,3D Detector,---,---,911.26904,97.90321,970.8156,113.92661,1036.3181,42.98924,1095.8647,59.012634,937.34235,29.701714,996.8889,45.72511,1062.3914,-25.212257,1121.938,-9.188862
11,1623876789.03,0.9814735,pickup,1005.5518,151.09348,1099.1783,242.05872,---,---,3D Detector,---,---,997.3043,221.45871,1033.0773,236.34369,1055.161,197.10843,1090.934,211.99341,1012.36597,181.74033,1048.1389,196.62532,1070.2228,157.39006,1105.9956,172.27504
11,1623876789.03,0.97811437,midsize,1664.6714,91.460945,1749.7523,160.71317,---,---,3D Detector,---,---,1742.686,128.65178,1699.6166,114.33793,1698.8123,158.16167,1655.7427,143.84782,1757.2493,108.08154,1714.1798,93.76769,1713.3755,137.59143,1670.306,123.27759
11,1623876789.03,0.97020006,sedan,666.31067,268.02292,784.77374,358.30835,---,---,3D Detector,---,---,664.05664,341.45316,697.4682,355.92993,751.0121,297.48102,784.42365,311.9578,663.8684,315.41373,697.2799,329.8905,750.82385,271.4416,784.23535,285.91837
11,1623876789.03,0.96841633,pickup,476.56235,198.18936,611.6745,310.17126,---,---,3D Detector,---,---,479.6512,290.5748,510.13315,307.66663,577.2425,246.9956,607.7244,264.0874,480.2481,246.62004,510.73004,263.71185,577.8394,203.04083,608.32135,220.13264
11,1623876789.03,0.9035648,midsize,486.81152,444.32095,657.72925,584.6282,---,---,3D Detector,---,---,495.753,564.0765,535.9508,580.7496,621.72894,493.36703,661.9268,510.0401,482.67148,521.1758,522.8693,537.8488,608.64746,450.4663,648.8453,467.13937
11,1623876789.03,0.41433835,pickup,219.03214,903.7554,252.1461,934.75665,---,---,3D Detector,---,---,245.36792,927.67163,225.4778,923.72327,238.48317,931.94385,218.59305,927.9954,252.03047,910.4433,232.14035,906.4949,245.14572,914.7155,225.2556,910.7671
11,1623876789.03,0.33666992,semi,908.1196,-29.76487,1118.8213,131.26538,---,---,3D Detector,---,---,901.44324,104.802505,960.0202,118.139404,1044.992,46.585358,1103.569,59.922264,918.1571,40.405468,976.734,53.742374,1061.7058,-17.811676,1120.2827,-4.474766
12,1623876789.07,0.98215413,pickup,459.86594,209.49608,598.9458,313.4671,---,---,3D Detector,---,---,459.85403,298.02722,495.2803,308.89725,565.78925,255.4732,601.21545,266.34323,456.03256,261.48227,491.45883,272.3523,561.9678,218.92825,597.39404,229.79828
12,1623876789.07,0.9792723,midsize,1679.5646,79.29364,1755.0355,155.55762,---,---,3D Detector,---,---,1754.7847,117.952126,1712.1226,106.964836,1709.623,150.98438,1666.9609,139.99709,1767.7854,95.25477,1725.1233,84.26749,1722.6238,128.28702,1679.9617,117.29973
12,1623876789.07,0.9687282,sedan,645.322,274.8589,763.9007,375.7837,---,---,3D Detector,---,---,648.36084,355.62045,679.1275,372.30667,735.4592,306.46393,766.22595,323.15015,641.78406,328.7901,672.5507,345.47632,728.8825,279.63358,759.6492,296.3198
12,1623876789.07,0.9247294,midsize,458.62796,464.13495,627.2319,605.22076,---,---,3D Detector,---,---,470.16626,582.01373,501.7881,603.7521,587.6115,511.27374,619.23334,533.01215,467.76068,535.1574,499.3825,556.8958,585.20593,464.41745,616.82776,486.15582
12,1623876789.07,0.87898064,midsize,982.0765,170.04428,1082.3467,251.2391,---,---,3D Detector,---,---,986.2756,237.18834,1015.66974,250.4213,1037.5953,204.41985,1066.9895,217.6528,996.87476,203.30261,1026.2689,216.53557,1048.1945,170.53412,1077.5886,183.76706
12,1623876789.07,0.4193912,pickup,216.41055,906.426,249.72421,939.57446,---,---,3D Detector,---,---,241.803,930.0915,225.30511,926.84607,236.22249,935.4295,219.72461,932.1841,246.20468,913.2855,229.70682,910.0401,240.62418,918.62354,224.1263,915.3781
13,1623876789.1,0.98668057,pickup,440.90186,212.05663,587.20514,325.30026,---,---,3D Detector,---,---,444.51358,308.81155,478.91766,319.46594,558.812,260.7116,593.2161,271.366,432.99094,270.4199,467.39502,281.07428,547.2894,222.31998,581.6935,232.97437
13,1623876789.1,0.9830776,sedan,615.291,291.71454,757.71277,386.8887,---,---,3D Detector,---,---,620.7564,369.34198,657.0046,381.08734,720.1494,325.68436,756.3976,337.42972,615.85626,343.75873,652.10443,355.5041,715.2493,300.1011,751.49744,311.84647
13,1623876789.1,0.96632916,midsize,1687.703,65.50181,1766.6345,145.12444,---,---,3D Detector,---,---,1764.9419,110.28482,1717.8967,96.119675,1719.2723,139.69585,1672.2272,125.5307,1782.392,85.67172,1735.3468,71.50658,1736.7224,115.08275,1689.6772,100.9176
13,1623876789.1,0.9374984,midsize,968.6357,174.30914,1064.832,265.59167,---,---,3D Detector,---,---,970.75476,247.74081,999.92706,263.78076,1023.17004,212.643,1052.3424,228.68294,980.8688,211.32213,1010.0411,227.36206,1033.284,176.2243,1062.4563,192.26425
13,1623876789.1,0.8976378,midsize,432.13773,481.36053,606.9983,621.5452,---,---,3D Detector,---,---,443.96136,601.47705,478.94907,621.7954,568.6871,525.18,603.6748,545.4984,435.0755,558.1605,470.06323,578.4789,559.8012,481.86343,594.78894,502.18182
13,1623876789.1,0.51202685,pickup,216.93991,904.24677,252.92725,936.1637,---,---,3D Detector,---,---,244.641,928.42993,226.24345,923.2856,238.32521,934.6452,219.92766,929.50085,249.70668,909.89465,231.30913,904.7503,243.39088,916.1099,224.99333,910.9656
13,1623876789.1,0.5062794,sedan,716.18634,933.8052,897.5779,1115.6079,---,---,3D Detector,---,---,801.5944,1036.4619,794.6804,1040.1548,823.4956,1057.2775,816.58154,1060.9703,800.4123,990.67676,793.4982,994.36957,822.3134,1011.4923,815.3994,1015.1851
14,1623876789.14,0.98375595,pickup,426.32858,223.75774,572.2404,334.2996,---,---,3D Detector,---,---,430.229,316.95032,466.05542,329.46353,544.0205,269.58862,579.8469,282.10184,416.77606,280.02386,452.60248,292.53708,530.5676,232.66216,566.39404,245.17535
14,1623876789.14,0.97692525,sedan,598.47534,301.3599,723.30475,402.5655,---,---,3D Detector,---,---,605.93994,385.30954,634.1517,400.74664,690.3225,336.24893,718.53424,351.68604,602.34033,352.20676,630.55206,367.64386,686.7229,303.14612,714.93463,318.58325
14,1623876789.14,0.96524185,midsize,1693.8779,62.840286,1778.8533,131.51286,---,---,3D Detector,---,---,1772.6102,98.30734,1729.2657,86.716896,1729.796,128.00235,1686.4515,116.41191,1784.8307,78.15248,1741.4862,66.56203,1742.0166,107.847496,1698.672,96.25704
14,1623876789.14,0.9597156,midsize,943.88416,184.88437,1050.6962,279.92636,---,---,3D Detector,---,---,948.54443,262.78452,981.46906,278.7677,1006.64166,221.81699,1039.5663,237.80017,955.207,226.6318,988.1316,242.615,1013.30426,185.66428,1046.2289,201.64748
14,1623876789.14,0.9241298,midsize,398.7128,495.32092,575.7389,642.6215,---,---,3D Detector,---,---,412.47208,617.4916,447.4304,639.85614,534.406,542.4251,569.3643,564.7897,406.25168,572.46594,441.21,594.8305,528.1856,497.3995,563.1439,519.76404
14,1623876789.14,0.80490196,sedan,748.8399,902.76166,942.2016,1089.6776,---,---,3D Detector,---,---,910.9565,975.94904,873.42664,952.8892,833.6629,1074.8129,796.133,1051.753,901.29694,941.4914,863.7671,918.4316,824.00336,1040.3552,786.4735,1017.2954
14,1623876789.14,0.467268,pickup,216.40161,903.9787,253.12326,936.7121,---,---,3D Detector,---,---,244.63795,928.4792,226.07886,923.57806,238.46634,934.9663,219.90724,930.0652,249.40633,909.51215,230.84723,904.611,243.23471,915.99927,224.67561,911.09814
14,1623876789.14,0.36027086,midsize,1192.5259,-10.537619,1262.8722,38.235863,---,---,3D Detector,---,---,1187.8107,28.754726,1220.1401,36.223473,1220.428,15.728487,1252.7574,23.197233,1201.9727,6.2569294,1234.3021,13.725676,1234.59,-6.769308,1266.9194,0.6994362
14,1623876789.14,0.34215307,semi,886.6763,-6.222908,1077.019,149.88348,---,---,3D Detector,---,---,875.84143,129.77686,916.13403,141.17082,1027.9681,63.910503,1068.2609,75.304474,892.5057,71.57516,932.79834,82.969124,1044.6324,5.708809,1084.925,17.102776
